MTU (CET);Day-ahead Price [EUR/MWh]
05.01.2015 00:00 - 05.01.2015 01:00;36.56
05.01.2015 01:00 - 05.01.2015 02:00;34.94
05.01.2015 02:00 - 05.01.2015 03:00;32.19
05.01.2015 03:00 - 05.01.2015 04:00;28.05
05.01.2015 04:00 - 05.01.2015 05:00;28.04
05.01.2015 05:00 - 05.01.2015 06:00;34.26
05.01.2015 06:00 - 05.01.2015 07:00;44.28
05.01.2015 07:00 - 05.01.2015 08:00;50.38
05.01.2015 08:00 - 05.01.2015 09:00;53.79
05.01.2015 09:00 - 05.01.2015 10:00;52.03
05.01.2015 10:00 - 05.01.2015 11:00;50.60
05.01.2015 11:00 - 05.01.2015 12:00;50.50
05.01.2015 12:00 - 05.01.2015 13:00;48.45
05.01.2015 13:00 - 05.01.2015 14:00;44.54
05.01.2015 14:00 - 05.01.2015 15:00;42.00
05.01.2015 15:00 - 05.01.2015 16:00;43.10
05.01.2015 16:00 - 05.01.2015 17:00;46.70
05.01.2015 17:00 - 05.01.2015 18:00;56.78
05.01.2015 18:00 - 05.01.2015 19:00;58.84
05.01.2015 19:00 - 05.01.2015 20:00;53.60
05.01.2015 20:00 - 05.01.2015 21:00;46.90
05.01.2015 21:00 - 05.01.2015 22:00;44.58
05.01.2015 22:00 - 05.01.2015 23:00;48.70
05.01.2015 23:00 - 06.01.2015 00:00;46.06
06.01.2015 00:00 - 06.01.2015 01:00;45.56
06.01.2015 01:00 - 06.01.2015 02:00;40.28
06.01.2015 02:00 - 06.01.2015 03:00;39.20
06.01.2015 03:00 - 06.01.2015 04:00;36.22
06.01.2015 04:00 - 06.01.2015 05:00;34.04
06.01.2015 05:00 - 06.01.2015 06:00;38.58
06.01.2015 06:00 - 06.01.2015 07:00;43.32
06.01.2015 07:00 - 06.01.2015 08:00;50.00
06.01.2015 08:00 - 06.01.2015 09:00;49.53
06.01.2015 09:00 - 06.01.2015 10:00;50.87
06.01.2015 10:00 - 06.01.2015 11:00;50.86
06.01.2015 11:00 - 06.01.2015 12:00;50.17
06.01.2015 12:00 - 06.01.2015 13:00;47.97
06.01.2015 13:00 - 06.01.2015 14:00;45.20
06.01.2015 14:00 - 06.01.2015 15:00;41.45
06.01.2015 15:00 - 06.01.2015 16:00;40.08
06.01.2015 16:00 - 06.01.2015 17:00;43.62
06.01.2015 17:00 - 06.01.2015 18:00;48.55
06.01.2015 18:00 - 06.01.2015 19:00;52.32
06.01.2015 19:00 - 06.01.2015 20:00;53.10
06.01.2015 20:00 - 06.01.2015 21:00;48.78
06.01.2015 21:00 - 06.01.2015 22:00;43.91
06.01.2015 22:00 - 06.01.2015 23:00;44.58
06.01.2015 23:00 - 07.01.2015 00:00;45.73
07.01.2015 00:00 - 07.01.2015 01:00;40.00
07.01.2015 01:00 - 07.01.2015 02:00;36.69
07.01.2015 02:00 - 07.01.2015 03:00;37.45
07.01.2015 03:00 - 07.01.2015 04:00;32.08
07.01.2015 04:00 - 07.01.2015 05:00;29.48
07.01.2015 05:00 - 07.01.2015 06:00;34.94
07.01.2015 06:00 - 07.01.2015 07:00;41.74
07.01.2015 07:00 - 07.01.2015 08:00;49.17
07.01.2015 08:00 - 07.01.2015 09:00;54.44
07.01.2015 09:00 - 07.01.2015 10:00;50.99
07.01.2015 10:00 - 07.01.2015 11:00;50.00
07.01.2015 11:00 - 07.01.2015 12:00;51.22
07.01.2015 12:00 - 07.01.2015 13:00;50.15
07.01.2015 13:00 - 07.01.2015 14:00;51.46
07.01.2015 14:00 - 07.01.2015 15:00;50.88
07.01.2015 15:00 - 07.01.2015 16:00;48.00
07.01.2015 16:00 - 07.01.2015 17:00;47.14
07.01.2015 17:00 - 07.01.2015 18:00;51.07
07.01.2015 18:00 - 07.01.2015 19:00;52.46
07.01.2015 19:00 - 07.01.2015 20:00;48.78
07.01.2015 20:00 - 07.01.2015 21:00;47.45
07.01.2015 21:00 - 07.01.2015 22:00;42.02
07.01.2015 22:00 - 07.01.2015 23:00;45.57
07.01.2015 23:00 - 08.01.2015 00:00;45.60
08.01.2015 00:00 - 08.01.2015 01:00;43.88
08.01.2015 01:00 - 08.01.2015 02:00;35.65
08.01.2015 02:00 - 08.01.2015 03:00;35.87
08.01.2015 03:00 - 08.01.2015 04:00;30.17
08.01.2015 04:00 - 08.01.2015 05:00;24.54
08.01.2015 05:00 - 08.01.2015 06:00;32.00
08.01.2015 06:00 - 08.01.2015 07:00;40.96
08.01.2015 07:00 - 08.01.2015 08:00;49.53
08.01.2015 08:00 - 08.01.2015 09:00;48.07
08.01.2015 09:00 - 08.01.2015 10:00;48.75
08.01.2015 10:00 - 08.01.2015 11:00;49.29
08.01.2015 11:00 - 08.01.2015 12:00;49.33
08.01.2015 12:00 - 08.01.2015 13:00;48.43
08.01.2015 13:00 - 08.01.2015 14:00;47.21
08.01.2015 14:00 - 08.01.2015 15:00;51.40
08.01.2015 15:00 - 08.01.2015 16:00;40.50
08.01.2015 16:00 - 08.01.2015 17:00;41.10
08.01.2015 17:00 - 08.01.2015 18:00;54.50
08.01.2015 18:00 - 08.01.2015 19:00;51.25
08.01.2015 19:00 - 08.01.2015 20:00;50.31
08.01.2015 20:00 - 08.01.2015 21:00;47.97
08.01.2015 21:00 - 08.01.2015 22:00;40.50
08.01.2015 22:00 - 08.01.2015 23:00;43.80
08.01.2015 23:00 - 09.01.2015 00:00;44.05
09.01.2015 00:00 - 09.01.2015 01:00;32.28
09.01.2015 01:00 - 09.01.2015 02:00;29.71
09.01.2015 02:00 - 09.01.2015 03:00;28.97
09.01.2015 03:00 - 09.01.2015 04:00;25.12
09.01.2015 04:00 - 09.01.2015 05:00;25.46
09.01.2015 05:00 - 09.01.2015 06:00;25.84
09.01.2015 06:00 - 09.01.2015 07:00;31.86
09.01.2015 07:00 - 09.01.2015 08:00;44.00
09.01.2015 08:00 - 09.01.2015 09:00;45.82
09.01.2015 09:00 - 09.01.2015 10:00;47.16
09.01.2015 10:00 - 09.01.2015 11:00;42.52
09.01.2015 11:00 - 09.01.2015 12:00;43.00
09.01.2015 12:00 - 09.01.2015 13:00;41.01
09.01.2015 13:00 - 09.01.2015 14:00;40.00
09.01.2015 14:00 - 09.01.2015 15:00;39.94
09.01.2015 15:00 - 09.01.2015 16:00;39.96
09.01.2015 16:00 - 09.01.2015 17:00;39.96
09.01.2015 17:00 - 09.01.2015 18:00;52.44
09.01.2015 18:00 - 09.01.2015 19:00;41.00
09.01.2015 19:00 - 09.01.2015 20:00;38.95
09.01.2015 20:00 - 09.01.2015 21:00;36.51
09.01.2015 21:00 - 09.01.2015 22:00;34.60
09.01.2015 22:00 - 09.01.2015 23:00;31.09
